"variable_id","device_serial","label","value","value_description","unit","timestamp_str","timestamp","bitfield_gas_supplies_ok","bitfield_ac_mains_power_ok","bitfield_battery_charge_ok","bitfield_manual_circuit_leak_ok","bitfield_vent_circuit_leak_ok","bitfield_flow_controls_ok","bitfield_vent_delivery_ok","bitfield_circuit_o2_cell_checked","bitfield_airway_pressure_sensor_ok","bitfield_barometric_pressure_ok","bitfield_safety_valve_ok","bitfield_exhalation_valve_ok","bitfield_o2_conc_sensor_ok","bitfield_o2_flow_sensor_ok","bitfield_air_flow_sensor_ok","bitfield_expiratory_flow_sensor_ok","bitfield_inspiratory_flow_sensor_ok"
"3888","000000008204526","3888","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8546","000000008204526","Device Displayed Unit Codeof Flow","m","L/min","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8631","000000008204526","8631","20231123","20231123","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"1913","000000008204526","Device Serial Number","000000008204526","000000008204526","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"2879","000000008204526","Device Software Revision","0213","0213","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"801","000000008204526","Generic Device Status","46","46","139","20240814114636","2024-08-14T09:46:36.000000Z",true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false
"2895","000000008204526","2895","k","k","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"3907","000000008204526","Control Breath Status","1","1","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"802","000000008204526","Generic Device Status 2","18","18","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false
"538","000000008204526","Device Language","J","Norwegian","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"2994","000000008204526","Device Alarm Audio Volume","2","2","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8545","000000008204526","8545","c","cmH2O","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"754","000000008204526","754","elisa 800","elisa 800","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"803","000000008204526","Generic Device Status 3","121","121","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false
"7452","000000008204526","7452","i","i","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"804","000000008204526","Generic Device Status 4","3","3","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true
"2996","000000008204526","Drive Gas Type","B","both","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"1383","000000008204526","Inspiratory Flow Trigger Setting","3","3","32","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"2104","000000008204526","Positive End ExpiratoryPressure (PEEP) Setting","7","7","39","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"2102","000000008204526","Inspiratory Time Setting","0.8","0.8","4","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"50203","000000008204526","50203","E8","E8","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"4992","000000008204526","Maximum Inspired Pressure Setting","32","32","39","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"4987","000000008204526","Apnea Ventilation Delay","20","20","4","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"757","000000008204526","757","18","18","76","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"54022","000000008204526","Ventilation Mode Options","+VG","+VG","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"1410","000000008204526","Patient Category (Ventilator)","p","pediatric","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"584","000000008204526","Ventilation Mode","kk","Volume adaptive BiLevel","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"2583","000000008204526","I:E Ratio Setting","1:1.9","1:1.9","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"4164","000000008204526","Minimum Airway Pressure Setting","5","5","44","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"1320","000000008204526","Mandatory Respiration Rate Setting","26","26","1","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"5647","000000008204526","Ventilation Bias Flow Setting","3","3","32","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"2782","000000008204526","Inspired O2 (FiO2) Setting","40","40","19","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"2098","000000008204526","2098","256","256","42","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"7669","000000008204526","Ventilation variable","6","6","243","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"3425","000000008204526","Pressure variable","1007","1007","44","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"2097","000000008204526","2097","257","257","42","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"5972","000000008204526","Next Ventilation Action Delay Setting","30","30","4","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8382","000000008204526","Peak Inspiratory Pressure Setting","38","38","39","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"4024","000000008204526","4024","12","12","32","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"9476","000000008204526","9476","0","0","19","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
